id,categoryId,country,name,description,person,phone,email,website,wechat,logo
1,1,Afghanistan,Ansari Wahid Group of Companies,,,,,,,
2,1,Afghanistan,Ansari Wahid Group of Companies,,,,,,,
3,1,Afghanistan,Jahan Saffron Production Process And Packing Co,,,,,,,
4,1,Afghanistan,Kamran Shafi Group of companies,,,,,,,
5,1,Bolivia (Plurinational State of),Agroexportaciones del Sur S.R.L.,,,,,,,
6,1,Botswana,Macentyrer Investments T/A Maungo Craft,,,,,,,
7,1,Ecuador,Falusán Cía Ltda,,,,,,,
8,1,Ecuador,FL PROCESADOS DEL ECUADOR SA,,,,,,,
9,1,Ecuador,Healthy Food Marcalman Ecuador SAS,,,,,,,
10,1,Egypt,Rehana,,,,,,,
11,1,Honduras,Camarones del Sur S.A. de C.V.,,,,,,,
12,1,Kenya,Eco Jambo Limited,,,,,,,
13,1,Kenya,KONZA TROPICALS LIMITED,,,,,,,
14,1,Lao People's Democratic Republic,"2DaY Consultant Sole Co.,Ltd",,,,,,,
15,1,Lao People's Democratic Republic,Meathip Solar Dried Banana,,,,,,,
16,1,Lao People's Democratic Republic,The Boloven Plateau Coffee Producer Cooperative,,,,,,,
17,1,Lao People's Democratic Republic,The Green,,,,,,,
18,1,Mongolia,Teso foods,,,,,,,
19,1,Morocco,PRIVA TRADING,,,,,,,
20,1,Morocco,Societé Marocaine de Fabrication et Conditionnement,,,,,,,
21,1,Nigeria,Royal Winosa Industries Ltd,,,,,,,
22,1,Philippines,MEGA Prime Foods Inc.,,,,,,,
23,1,Thailand,"Hillkoff co.,ltd.",,,,,,,
24,1,Thailand,"Lampang Food Products Co., Ltd.",,,,,,,
25,1,United Republic of Tanzania (the),Mrutu Agro-Solutions Company Limited,,,,,,,
26,1,Uzbekistan,"""Eastern Agro Export"" Limited Liability Company",,,,,,,
27,1,Uzbekistan,"""Optimum Fruits"" LLC",,,,,,,
28,2,Burundi,GREEN NATURAL COMPANY LTD,,,,,,,
29,2,Burundi,MAZINGWA INVESTMENT,,,,,,,
30,2,Burundi,Trade Legacy Burundi,,,,,,,
31,2,Gambia,Smiling Coast Agro Processing Company Limited,,,,,,,
32,2,Guinea,Sustainable Development Africa Trading and Innovation,,,,,,,
33,2,Madagascar,PHAEL FLOR EXPORT,,,,,,,
34,2,Mozambique,"Agrosell, Lda",,,,,,,
35,2,Rwanda,DAVET,,,,,,,
36,2,Senegal,TIGGER CUSTOM COMPANY,,,,,,,
37,2,South Sudan,Urban South Group,,,,,,,
38,2,Uganda,Bayaaya specialty coffee ltd,,,,,,,
39,2,United Republic of Tanzania (the),GBRI BUSINESS SOLUTIONS COMPANY LIMITED,,,,,,,
40,3,Burundi,KLARIZA SPRL,,,,,,,
41,3,Cameroon,DIDA Clothing,,,,,,,
42,3,Ethiopia,"Jano Handicraft Enterprise -- ""Shimena"" with Brand name",,,,,,,
43,3,Ghana,Sava Shea Company Limited,,,,,,,
44,3,Jordan,Green Fields Oils Factory,,,,,,,
45,3,Kenya,EVERYTHING MATERNITY KENYA,,,,,,,
46,3,Kenya,Iko Ziwa Africa Ltd /Kiko Romeo,,,,,,,
47,3,Kenya,Naskia ventures limited,,,,,,,
48,3,Kyrgyzstan,Union of handicraftsmen Kyrgyz Republic,,,,,,,
49,3,Madagascar,MG SAKAY,,,,,,,
50,3,Malawi,Dedza Pottery,,,,,,,
51,3,Mongolia,Sain tumen cashmere LLC,,,,,,,
52,3,Morocco,COLORADO,,,,,,,
53,3,Nepal,BEST HIMALAYA EXPORT PVT LTD,,,,,,,
54,3,Nepal,Divya Pashmina Udyog,,,,,,,
55,3,Philippines,"BEBEBALM, INC.",,,,,,,
56,3,South Sudan,MAYO trading company ltd,,,,,,,
57,3,Sri Lanka,The Empress Kingdom,,,,,,,
58,3,Tunisia,El bochra company,,,,,,,
59,3,Uganda,JOY HORN CRAFTS,,,,,,,
60,3,United Republic of Tanzania (the),NANA naturals,,,,,,,
61,3,Viet Nam,Mekong Coconut Oil Company Limited,,,,,,,
62,3,Zambia,Authentic Crafts Limited (Namayo jewellery brand name),,,,,,,
63,4,Botswana,Eana Safari Travel,,,,,,,
64,4,Botswana,Lebone Enterprise Development Agency,,,,,,,
65,4,Cameroon,APP COMPANY LIMITED,,,,,,,
66,4,Central African Republic,GBNM Systèmes Marketing Digital,,,,,,,
67,4,Costa Rica,Mar y Comercio,,,,,,,
68,4,Ecuador,KYRIOS CONSULTING INTEGRADORES TECNOLOGICOS KYRIOSCONS S.A,,,,,,,
