id,companyId,number,product,product_en,name,product_img
1,1,1,辣木油,Moringa Oil,KLARIZA SPRL,SME/KLARIZA SPRL/1.jpg
2,1,2,辣木身体润肤膏,Moringa Body Balm,KLARIZA SPRL,SME/KLARIZA SPRL/2.jpg
3,1,3,辣木润唇膏,Moringa Lip Balm,KLARIZA SPRL,SME/KLARIZA SPRL/3.jpg
4,1,4,辣木皂,Moringa Soap,KLARIZA SPRL,SME/KLARIZA SPRL/4.jpg
5,3,1,手工编织围巾,Handwoven scarves,"Jano Handicraft Enterprise -- ""Shimena""  with Brand name","SME/Jano Handicraft Enterprise -- ""Shimena""  with Brand name/1.jpg"
6,3,2,披肩,shawls,"Jano Handicraft Enterprise -- ""Shimena""  with Brand name","SME/Jano Handicraft Enterprise -- ""Shimena""  with Brand name/2.jpg"
7,3,3,斗篷,ponchos,"Jano Handicraft Enterprise -- ""Shimena""  with Brand name","SME/Jano Handicraft Enterprise -- ""Shimena""  with Brand name/3.jpg"
8,3,4,毛巾,towels,"Jano Handicraft Enterprise -- ""Shimena""  with Brand name","SME/Jano Handicraft Enterprise -- ""Shimena""  with Brand name/4.jpg"
9,3,5,手工编织披毯,handwoven throws,"Jano Handicraft Enterprise -- ""Shimena""  with Brand name","SME/Jano Handicraft Enterprise -- ""Shimena""  with Brand name/5.jpg"
10,3,6,桌旗,table runners,"Jano Handicraft Enterprise -- ""Shimena""  with Brand name","SME/Jano Handicraft Enterprise -- ""Shimena""  with Brand name/6.jpg"
11,3,7,手工钩织的帽子,hand crocheted hat,"Jano Handicraft Enterprise -- ""Shimena""  with Brand name","SME/Jano Handicraft Enterprise -- ""Shimena""  with Brand name/7.jpg"
12,4,1,身体乳,body creams,Sava Shea Company Limited,SME/Sava Shea Company Limited/1.jpg
13,4,2,沐浴露,shower gels,Sava Shea Company Limited,SME/Sava Shea Company Limited/2.jpg
14,4,3,润唇膏,lip balm,Sava Shea Company Limited,SME/Sava Shea Company Limited/3.jpg
15,4,4,非洲黑皂,African black soap,Sava Shea Company Limited,SME/Sava Shea Company Limited/4.jpg
16,4,5,护发及身体乳霜,hair and body butters,Sava Shea Company Limited,SME/Sava Shea Company Limited/5.jpg
17,4,6,未精炼乳木果油和洗发水身体乳,Unrefined sheabutter and hair shampoos,Sava Shea Company Limited,SME/Sava Shea Company Limited/6.jpg
18,5,1,即用型精油,Ready-to-use Essential oils,Green Fields Oils Factory,SME/Green Fields Oils Factory/1.jpg
19,5,2,冷榨油,Cold Pressed oils,Green Fields Oils Factory,SME/Green Fields Oils Factory/2.jpg
20,6,1,孕妇装与哺乳装,Maternity & Nursing clothing,EVERYTHING MATERNITY KENYA,SME/EVERYTHING MATERNITY KENYA/1.jpg
21,6,2,母婴健康必备品,Baby & Mum Wellness essentials,EVERYTHING MATERNITY KENYA,SME/EVERYTHING MATERNITY KENYA/2.jpg
22,6,3,产后及住院用品套装,Postpartum & hospital kits,EVERYTHING MATERNITY KENYA,SME/EVERYTHING MATERNITY KENYA/3.jpg
23,6,4,礼品解决方案,gifting solutions,EVERYTHING MATERNITY KENYA,SME/EVERYTHING MATERNITY KENYA/4.jpg
24,7,1,服装与服饰,Clothing & apparel,Iko Ziwa Africa Ltd /Kiko Romeo,SME/Iko Ziwa Africa Ltd /Kiko Romeo/1.jpg
25,7,2,纺织品&设计咨询&高端公司制服,textiles& design consulting& high-end company uniforms,Iko Ziwa Africa Ltd /Kiko Romeo,SME/Iko Ziwa Africa Ltd /Kiko Romeo/2.jpg
26,8,1,剑麻篮子,Sisal baskets,Naskia ventures limited,SME/Naskia ventures limited/1.jpg
27,9,1,围巾,scarves,Union of handicraftsmen Kyrgyz Republic,SME/Union of handicraftsmen Kyrgyz Republic/1.jpg
28,9,2,家居装饰品,home decorations,Union of handicraftsmen Kyrgyz Republic,SME/Union of handicraftsmen Kyrgyz Republic/2.jpg
29,9,3,玩具,toys,Union of handicraftsmen Kyrgyz Republic,SME/Union of handicraftsmen Kyrgyz Republic/3.jpg
30,10,1,精油（热带香桃木精油、天竺葵精油、生姜精油、 Ravensara 精油、尼傲油、桉树精油……）,"Essential Oils (Ravintsara, Geranium, Ginger, Ravensara, Niaouli, Eucalyptus,…) ",MG SAKAY,SME/MG SAKAY/1.jpg
31,10,2,植物油,Vegetal Oils ,MG SAKAY,SME/MG SAKAY/2.jpg
32,11,1,陶瓷制品,Ceramic products,Dedza Pottery,SME/Dedza Pottery/1.jpg
33,11,2,酒店旅游服务,Hospitality/Tourism services,Dedza Pottery,SME/Dedza Pottery/2.jpg
34,12,1,百分百羊毛针织服饰,100% cashmere knitted
clothing,Sain tumen cashmere LLC,SME/Sain tumen cashmere LLC/1.jpg
